timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-16 08:00:00-04:00,3.25,,
2026-04-17 07:00:00-04:00,2.64,2.84,7.46
2026-01-16 07:00:00-05:00,2.84,2.97,4.75
2025-10-17 07:00:00-04:00,2.65,2.78,4.98
2025-07-15 07:00:00-04:00,2.36,2.53,7.06
2025-04-17 07:00:00-04:00,2.01,2.04,1.7
2025-01-17 07:00:00-05:00,2.44,2.6,6.51
2024-10-15 07:00:00-04:00,2.12,2.26,6.6
2024-07-16 07:00:00-04:00,2.02,2.15,6.28
2024-04-12 07:00:00-04:00,1.5,1.69,12.79
2024-01-19 07:00:00-05:00,1.83,2.04,11.51
2023-10-18 07:00:00-04:00,1.83,1.93,5.24
2023-07-14 07:00:00-04:00,2.1,2.17,3.44
2023-04-17 07:00:00-04:00,1.64,1.52,-7.57
2023-01-20 07:00:00-05:00,1.96,2.07,5.78
2022-10-18 07:00:00-04:00,1.78,1.82,2.2
2022-07-15 08:00:00-04:00,1.73,1.94,12.35
2022-04-14 07:00:00-04:00,1.48,1.59,7.71
2022-01-19 07:00:00-05:00,1.89,2.0,5.94
2021-10-18 07:00:00-04:00,1.92,2.0,4.16
2021-07-16 07:00:00-04:00,1.8,1.97,9.72
2021-04-16 07:00:00-04:00,1.34,1.47,9.32
2021-01-19 07:00:00-05:00,1.55,1.69,8.83
2020-10-16 07:00:00-04:00,1.41,1.45,2.81
2020-07-17 07:00:00-04:00,1.6,1.88,17.85
