timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-21 08:00:00-04:00,2.9,,
2026-04-16 07:00:00-04:00,3.22,3.29,2.14
2026-01-29 02:00:00-05:00,1.97,2.12,7.45
2025-10-16 06:00:00-04:00,1.78,1.85,4.07
2025-07-17 06:00:00-04:00,2.66,2.72,2.11
2025-04-17 07:00:00-04:00,3.0,3.06,2.08
2025-01-30 07:00:00-05:00,1.76,1.87,6.03
2024-10-17 06:00:00-04:00,1.62,1.63,0.79
2024-07-18 07:00:00-04:00,2.39,2.41,0.65
2024-04-18 07:00:00-04:00,2.8,2.89,3.28
2024-01-25 07:00:00-05:00,1.63,1.68,3.37
2023-10-19 07:00:00-04:00,1.39,1.57,12.94
2023-07-20 07:00:00-04:00,2.12,2.2,4.02
2023-04-20 07:00:00-04:00,2.47,2.53,2.3
2023-01-26 07:00:00-05:00,1.41,1.47,4.5
2022-10-20 07:00:00-04:00,1.14,1.18,3.21
2022-07-21 07:00:00-04:00,1.86,1.89,1.46
2022-04-21 07:00:00-04:00,2.14,2.3,7.4
2022-01-27 07:00:00-05:00,1.35,1.36,0.46
2021-10-21 07:00:00-04:00,1.0,1.08,8.19
2021-07-22 07:00:00-04:00,1.43,1.75,22.74
2021-04-27 07:00:00-04:00,1.71,1.99,16.19
2021-01-28 07:00:00-05:00,1.12,1.19,5.86
2020-10-29 07:00:00-04:00,0.72,0.82,13.23
2020-07-30 07:00:00-04:00,1.13,1.32,16.37
