timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 08:00:00-04:00,0.79,,
2026-04-28 06:00:00-04:00,1.1,1.13,2.71
2026-02-05 06:00:00-05:00,0.94,0.95,1.49
2025-10-30 06:00:00-04:00,0.86,0.93,8.39
2025-07-31 06:00:00-04:00,0.68,0.71,3.94
2025-04-24 06:00:00-04:00,1.01,1.02,1.21
2025-02-06 06:00:00-05:00,0.87,0.87,-0.01
2024-10-31 06:00:00-04:00,0.78,0.84,7.83
2024-07-25 06:00:00-04:00,0.62,0.66,6.07
2024-04-25 06:00:00-04:00,0.95,0.97,2.48
2024-02-01 06:00:00-05:00,1.04,1.05,0.62
2023-10-26 11:00:00-04:00,0.59,0.61,3.71
2023-07-27 06:00:00-04:00,0.69,0.75,8.04
2023-04-27 06:00:00-04:00,0.7,0.7,0.18
2023-02-02 07:00:00-05:00,0.57,0.6,5.26
2022-10-27 07:00:00-04:00,0.53,0.56,6.27
2022-07-28 08:00:00-04:00,0.45,0.53,18.37
2022-05-03 07:00:00-04:00,1.12,1.2,7.62
2022-02-03 08:00:00-05:00,0.46,0.47,2.24
2021-10-28 08:00:00-04:00,0.54,0.54,0.78
2021-07-29 08:00:00-04:00,0.45,0.55,22.02
2021-04-29 08:00:00-04:00,1.14,1.21,6.03
2021-02-04 08:00:00-05:00,0.55,0.56,1.47
2020-10-29 08:00:00-04:00,0.71,0.77,7.73
2020-08-03 08:00:00-04:00,0.43,0.49,12.79
