timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-31 08:00:00-04:00,0.95,,
2026-05-01 06:00:00-04:00,0.94,0.97,2.7
2026-01-30 06:00:00-05:00,0.91,0.95,4.19
2025-10-31 06:00:00-04:00,0.89,0.91,2.36
2025-08-01 06:00:00-04:00,0.89,0.92,2.81
2025-04-25 06:00:00-04:00,0.86,0.91,6.12
2025-01-31 06:00:00-05:00,0.89,0.91,2.32
2024-10-25 06:00:00-04:00,0.88,0.91,2.87
2024-07-26 06:00:00-04:00,0.87,0.91,4.72
2024-04-26 08:00:00-04:00,0.81,0.86,5.85
2024-01-26 06:00:00-05:00,0.85,0.87,2.6
2023-10-27 06:00:00-04:00,0.8,0.86,7.3
2023-07-28 06:00:00-04:00,0.75,0.77,3.28
2023-04-28 06:00:00-04:00,0.7,0.73,4.57
2023-01-27 06:00:00-05:00,0.77,0.77,0.46
2022-10-28 06:00:00-04:00,0.73,0.74,1.03
2022-07-29 06:00:00-04:00,0.71,0.72,1.33
2022-04-29 06:00:00-04:00,0.75,0.74,-0.73
2022-01-28 06:00:00-05:00,0.79,0.79,0.15
2021-10-29 06:00:00-04:00,0.8,0.81,1.78
2021-07-30 06:00:00-04:00,0.8,0.8,0.07
2021-04-30 06:00:00-04:00,0.79,0.8,1.2
2021-01-29 06:00:00-05:00,0.76,0.77,0.66
2020-10-30 06:00:00-04:00,0.7,0.79,12.23
2020-07-31 06:00:00-04:00,0.69,0.74,6.57
