timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 16:00:00-04:00,0.68,,
2026-04-28 16:00:00-04:00,0.61,0.67,10.22
2026-02-03 16:00:00-05:00,0.7,0.72,3.34
2025-10-28 16:00:00-04:00,0.71,0.73,2.94
2025-07-29 16:00:00-04:00,0.68,0.73,7.87
2025-04-29 16:00:00-04:00,0.66,0.74,12.24
2025-02-04 16:00:00-05:00,0.65,0.65,-0.54
2024-10-29 16:00:00-04:00,0.85,0.99,16.57
2024-07-30 16:00:00-04:00,0.79,0.86,9.39
2024-04-30 16:00:00-04:00,0.89,0.95,6.99
2024-01-30 16:00:00-05:00,0.77,0.84,8.51
2023-11-01 16:00:00-04:00,0.78,0.82,4.72
2023-07-27 16:00:00-04:00,0.69,0.76,10.09
2023-04-27 16:00:00-04:00,0.8,0.89,10.62
2023-01-31 16:00:00-05:00,0.7,0.73,3.84
2022-11-01 16:00:00-04:00,0.69,0.74,7.8
2022-07-26 16:00:00-04:00,0.64,0.67,4.97
2022-04-26 16:00:00-04:00,0.75,0.84,11.69
2022-01-27 16:00:00-05:00,0.73,0.71,-2.14
2021-11-02 16:00:00-04:00,0.7,0.71,1.82
2021-07-27 16:00:00-04:00,0.65,0.66,1.53
2021-04-27 16:00:00-04:00,0.69,0.77,11.81
2021-01-28 16:00:00-05:00,0.67,0.67,0.69
2020-11-02 16:00:00-05:00,0.62,0.63,0.96
2020-07-28 16:00:00-04:00,0.56,0.63,12.15
