timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 08:00:00-04:00,1.35,,
2026-04-28 08:00:00-04:00,1.16,1.15,-0.87
2026-01-27 08:00:00-05:00,1.06,1.06,-0.35
2025-10-21 08:00:00-04:00,1.08,1.12,3.88
2025-07-22 08:00:00-04:00,1.31,1.37,4.31
2025-04-29 08:00:00-04:00,1.59,0.96,-39.79
2025-01-28 08:00:00-05:00,1.69,1.66,-1.53
2024-10-22 08:00:00-04:00,1.82,1.85,1.69
2024-07-23 08:00:00-04:00,2.15,2.13,-0.85
2024-04-30 08:00:00-04:00,2.2,2.27,3.27
2024-01-23 08:00:00-05:00,2.21,2.7,22.11
2023-10-24 08:00:00-04:00,2.12,2.34,10.23
2023-07-25 08:00:00-04:00,2.17,2.33,7.61
2023-04-25 08:00:00-04:00,1.74,1.4,-19.49
2023-01-24 08:00:00-05:00,1.47,1.76,19.89
2022-10-25 08:00:00-04:00,1.32,1.47,11.38
2022-07-26 08:00:00-04:00,1.22,1.38,12.73
2022-04-26 08:00:00-04:00,1.03,1.15,10.92
2022-01-25 08:00:00-05:00,0.88,0.98,11.79
2021-10-26 08:00:00-04:00,0.81,0.72,-10.86
2021-07-27 08:00:00-04:00,0.92,0.94,2.44
2021-04-27 08:00:00-04:00,0.84,0.9,6.95
2021-01-26 08:00:00-05:00,0.8,0.78,-2.88
2020-10-20 08:00:00-04:00,0.65,0.74,12.98
2020-07-21 08:00:00-04:00,0.21,0.29,34.59
