timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-15 08:00:00-04:00,4.6,,
2026-04-15 08:00:00-04:00,4.88,4.96,1.61
2026-01-28 08:00:00-05:00,4.43,4.67,5.33
2025-10-15 08:00:00-04:00,5.05,4.05,-19.73
2025-07-16 08:00:00-04:00,4.43,4.88,10.04
2025-04-16 09:00:00-04:00,4.78,4.65,-2.63
2025-01-28 19:00:00-05:00,3.56,4.08,14.63
2024-10-15 08:00:00-04:00,3.67,3.58,-2.3
2024-07-16 08:00:00-04:00,2.01,2.65,31.69
2024-04-12 09:00:00-04:00,3.21,3.76,17.05
2024-01-24 08:00:00-05:00,2.43,2.97,22.59
2023-10-31 08:00:00-04:00,1.71,2.11,23.44
2023-08-01 10:00:00-04:00,0.84,0.42,-50.62
2023-04-13 09:00:00-04:00,1.35,0.66,-50.85
2023-01-25 09:00:00-05:00,1.43,1.51,5.74
2022-10-13 08:00:00-04:00,0.92,0.53,-42.17
2022-07-15 08:00:00-04:00,0.93,0.79,-14.86
2022-04-14 11:00:00-04:00,1.24,1.15,-7.69
2022-01-26 09:00:00-05:00,1.02,1.08,5.81
2021-10-14 10:00:00-04:00,0.22,0.15,-32.69
2021-07-15 08:00:00-04:00,1.05,0.71,-32.36
2021-04-15 10:00:00-04:00,1.72,1.72,0.15
2021-01-27 09:00:00-05:00,1.69,1.84,8.54
2020-10-14 08:00:00-04:00,1.69,1.88,11.18
2020-07-15 09:00:00-04:00,1.73,1.85,6.88
