timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 08:00:00-04:00,1.91,,
2026-04-30 07:00:00-04:00,2.26,2.35,3.86
2026-02-05 07:00:00-05:00,1.67,1.71,2.23
2025-10-30 07:00:00-04:00,1.61,1.71,6.44
2025-07-31 07:00:00-04:00,1.77,1.81,2.26
2025-05-01 07:00:00-04:00,1.7,1.72,0.99
2025-02-06 07:00:00-05:00,1.49,1.52,1.98
2024-10-31 07:00:00-04:00,1.55,1.55,-0.06
2024-08-01 07:00:00-04:00,1.49,1.52,2.25
2024-05-02 08:00:00-04:00,1.49,1.48,-0.46
2024-02-08 07:00:00-05:00,1.29,1.33,3.06
2023-11-02 07:00:00-04:00,1.39,1.46,5.17
2023-08-03 07:00:00-04:00,1.37,1.43,4.6
2023-05-04 07:00:00-04:00,1.4,1.41,0.75
2023-02-02 07:00:00-05:00,1.26,1.25,-0.96
2022-11-03 07:00:00-04:00,1.27,1.31,3.37
2022-08-04 07:00:00-04:00,1.27,1.32,3.99
2022-05-05 07:00:00-04:00,1.42,1.43,0.7
2022-02-03 07:00:00-05:00,1.32,1.34,1.75
2021-10-28 07:00:00-04:00,1.23,1.3,5.82
2021-07-29 07:00:00-04:00,1.16,1.16,0.36
2021-04-29 07:00:00-04:00,1.31,1.34,2.38
2021-02-04 08:00:00-05:00,1.08,1.13,4.53
2020-10-29 07:00:00-04:00,0.98,1.03,4.6
2020-07-30 07:00:00-04:00,1.04,1.07,2.61
