timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 08:00:00-04:00,1.99,,
2026-04-30 06:00:00-04:00,1.9,1.97,3.56
2026-02-03 06:00:00-05:00,1.94,2.01,3.4
2025-10-30 06:00:00-04:00,1.76,1.89,7.41
2025-07-31 06:00:00-04:00,1.69,1.78,5.54
2025-05-01 06:00:00-04:00,1.69,1.75,3.51
2025-02-04 06:00:00-05:00,1.85,1.87,1.12
2024-10-31 06:00:00-04:00,1.62,1.66,2.6
2024-08-01 06:00:00-04:00,1.64,1.66,0.98
2024-05-02 06:00:00-04:00,1.59,1.64,2.95
2024-02-06 06:00:00-05:00,1.63,1.68,3.12
2023-10-31 06:00:00-04:00,1.58,1.64,3.88
2023-08-01 06:00:00-04:00,1.51,1.57,4.07
2023-05-02 06:00:00-04:00,1.41,1.49,5.51
2023-02-02 06:00:00-05:00,1.47,1.52,3.31
2022-11-01 06:00:00-04:00,1.37,1.45,5.75
2022-08-02 06:00:00-04:00,1.3,1.38,6.06
2022-05-03 06:00:00-04:00,1.28,1.33,4.29
2022-02-03 06:00:00-05:00,1.3,1.37,5.28
2021-11-02 06:00:00-04:00,1.18,1.26,6.54
2021-08-03 06:00:00-04:00,1.1,1.15,4.23
2021-05-04 06:00:00-04:00,1.01,1.07,5.45
2021-02-04 06:00:00-05:00,1.03,1.08,4.92
2020-10-29 06:00:00-04:00,0.94,1.01,7.52
2020-08-04 06:00:00-04:00,0.73,0.84,15.81
