timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 16:00:00-04:00,1.04,,
2026-04-28 16:00:00-04:00,1.32,1.42,7.42
2026-02-18 16:00:00-05:00,1.45,1.87,28.62
2025-10-28 16:00:00-04:00,2.18,2.34,7.28
2025-07-31 16:00:00-04:00,0.88,0.97,10.12
2025-04-29 16:00:00-04:00,1.21,1.37,13.27
2025-02-27 16:00:00-05:00,1.1,1.05,-4.42
2024-10-29 16:00:00-04:00,1.39,1.51,8.93
2024-07-25 16:00:00-04:00,1.07,1.22,14.03
2024-04-30 16:00:00-04:00,1.11,1.14,2.71
2024-02-22 16:00:00-05:00,1.15,1.28,11.25
2023-11-01 16:00:00-04:00,1.45,1.38,-5.0
2023-07-27 16:00:00-04:00,0.95,1.01,6.61
2023-05-02 16:00:00-04:00,0.98,1.09,11.5
2023-02-23 16:00:00-05:00,1.09,1.15,5.21
2022-11-01 16:00:00-04:00,1.47,1.48,0.53
2022-07-28 16:00:00-04:00,0.91,0.94,3.5
2022-05-03 16:00:00-04:00,0.81,1.07,32.28
2022-02-24 16:00:00-05:00,1.05,1.16,10.41
2021-11-02 16:00:00-04:00,1.76,1.69,-3.83
2021-07-29 16:00:00-04:00,1.02,0.94,-7.88
2021-04-27 16:00:00-04:00,0.74,0.79,6.7
2021-02-25 16:00:00-05:00,1.19,1.19,0.29
2020-10-27 16:00:00-04:00,1.5,1.67,11.17
2020-07-28 16:00:00-04:00,1.12,1.0,-10.96
